,cg1,cg2,cg3,cg4,cg5,cl1,cl2,cl3,cw1,cw2,cw3,sg2,sg3,sg4,sg5,sg6,sl1,sl2,sl3,sw1,sw2,sw3
WBGene00077585,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,142
WBGene00077586,0,0,0,0,0,0,0,0,0,0,6,0,44,0,0,0,14,0,0,0,0,0
WBGene00077588,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0
WBGene00077589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WBGene00077590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077592,11,8,8,1,3,2,9,4,13,10,7,0,25,0,0,0,63,4,15,4,0,0
WBGene00077593,24,22,22,11,17,38,37,14,54,28,14,8108,940,28017,53792,34435,8802,60686,23612,5132,11669,11761
WBGene00077594,88,100,73,46,62,85,78,80,67,25,53,0,857,598,121,3,156,20,141,234,197,0
WBGene00077595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WBGene00077596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0
WBGene00077597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
WBGene00077598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077599,0,4,1,4,0,5,4,3,2,10,0,0,85,367,487,614,407,200,123,403,161,0
WBGene00077600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
WBGene00077601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077603,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
WBGene00077604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176
WBGene00077605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077607,0,0,2,0,0,3,1,2,3,0,1,0,0,0,0,0,0,0,0,52,48,0
WBGene00077608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
WBGene00077609,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,4,157,97,0,0,419
